vus,p99,p95,avg,reqs,fails
11,429.35023667999997,180.00412119999976,68.92032283604496,799,0
12,395.07004145999997,233.73929369999814,73.0432740131264,838,0
13,389.9620964999999,208.08780624999974,72.12183352238804,938,0
14,407.54739177999994,289.98323379999994,77.58118015721932,935,0
15,394.90141,294.9129417,83.16434627085599,923,0
16,374.75300927999996,229.6195152,81.93172264227647,984,0
17,404.999032,288.7863626,92.63652023177372,919,0
18,383.58953761,302.0239875,93.88652313271618,972,0
18,405.96668017,367.73961429999986,100.12480342999996,900,0
18,508.082754,302.2818919,98.52824048645734,923,0
