vus,p99,p95,avg,reqs,fails
118,439.4909544999969,297.3087441,87.40242990393601,6860,0
119,479.0662566,322.74978124999996,79.48560139495268,7806,0
119,595.98869166,291.7768579999987,85.5436323039577,7024,0
120,598.699482,488.7410499,98.88570601714177,6067,0
120,513.0481372099999,299.86475179999996,91.56505869975926,6638,0
121,513.15742528,305.1574169999999,89.61765695153488,6809,0
121,690.82513672,391.4559672,96.60783660329268,6317,0
121,571.75742004,297.67192559999995,81.16144799347823,7513,0
122,514.59006272,388.9265984,88.82176733801464,7192,0
122,446.53255110999953,291.64725804999995,80.62673772866881,7618,0
123,507.77554075,302.7828502999999,81.34652821784793,7620,0
123,578.33989821,317.6712357999991,99.76760618243033,6238,0
123,503.18587518,371.98553389999995,91.32756919638364,6747,0
