vus,p99,p95,avg,reqs,fails
2,875.86258392,778.6444503999999,403.5324986800001,25,0
2,897.95051054,841.4348172999998,342.05995590624997,32,0
2,665.062552,600.984192,290.02783051351344,37,0
3,856.82351388,703.0857568999999,387.5556044000001,40,0
4,1910.8876611599997,759.8846259999998,482.3986320612246,49,0
4,900.7670608200001,796.1928341,438.1572103191489,47,0
4,897.4245579999999,707.456292,510.8572278780489,41,0
5,852.45506068,759.8584419999999,535.3740158979591,49,0
5,1207.3277449,1001.9508025,559.398383521739,46,0
5,1168.83415886,989.0810089999999,603.6567270930234,43,0
